request_id,title,search_keyword,target_sites,ebay_price_jpy,ebay_url
140,Motorcycle Mid Link Pipe Modified For Duke 125 250 390 RC390 2017 2018 2019 2020,Motorcycle Mid Link Pipe Modified For Duke 125 250 390 RC390 2017 2018 2019 2020,mercari;yahoo,8589,https://www.ebay.com/itm/204093241351?fits=Make%3AKTM&_skw=KTM&hash=item2f84e7b807:g:rLcAAOSwfrhjIpVO
141,KTM Genuine Shift Fork - 83034001000,KTM Genuine Shift Fork - 83034001000,mercari;yahoo,9908,https://www.ebay.com/itm/306882948549?_skw=KTM&hash=item4773a62dc5:g:cnAAAeSw6Ydp4AVg
142,for KTM 1050 1190 1290/ADV/RS heat shield body side protection guard side panel,for KTM 1050 1190 1290/ADV/RS heat shield body side protection guard side panel,mercari;yahoo,19931,https://www.ebay.com/itm/405982364474?_skw=KTM&hash=item5e866f433a:g:DSsAAOSw4rRoQWSR
143,"Polisport APT Unbreakable Brake/Clutch Levers Kit – Fits KTM, Husqvarna, G","Polisport APT Unbreakable Brake/Clutch Levers Kit – Fits KTM, Husqvarna, G",mercari;yahoo,6986,https://www.ebay.com/itm/336516378739?_skw=KTM&hash=item4e59f07073:g:6NEAAeSwUEtpz4QC
144,KTM 350 EXC-F 12-16 FORSETI STARTER SOLENOID RELAY ASSEMBLY,KTM 350 EXC-F 12-16 FORSETI STARTER SOLENOID RELAY ASSEMBLY,mercari;yahoo,3129,https://www.ebay.com/itm/305492088491?_skw=KTM&hash=item4720bf56ab:g:1m0AAOSwomdmDpJU
145,"KTM Genuine Needle Roller Din5402 5X9,8 - 0402050980","KTM Genuine Needle Roller Din5402 5X9,8 - 0402050980",mercari;yahoo,316,https://www.ebay.com/itm/306901539565?_skw=KTM&hash=item4774c1daed:g:1hEAAeSwE2Fp7JEu
146,Moose Offroad Head Cover Gasket Head Cover Gasket - Gas Gas/Husqvarna/KTM,Moose Offroad Head Cover Gasket Head Cover Gasket - Gas Gas/Husqvarna/KTM,mercari;yahoo,2043,https://www.ebay.com/itm/358482693844?_skw=KTM&hash=item53773bced4:g:LFkAAeSwILhp647u
147,💥Kingston 256MB FRU 40P6397 Laptop Memory RAM KTM-TP0028/256,💥Kingston 256MB FRU 40P6397 Laptop Memory RAM KTM-TP0028/256,mercari;yahoo,1235,https://www.ebay.com/itm/115605125900?_skw=KTM&hash=item1aea9a3b0c:g:Z9YAAOSwt0djdAXW
148,KTM Genuine Freewheel Gear 66 C Cpl. - 78940020033,KTM Genuine Freewheel Gear 66 C Cpl. - 78940020033,mercari;yahoo,18592,https://www.ebay.com/itm/298181939323?_skw=KTM&hash=item456d07507b:g:iakAAeSwrzppzO3a
149,KTM Genuine Shape Disc Alu - 60405069000,KTM Genuine Shape Disc Alu - 60405069000,mercari;yahoo,634,https://www.ebay.com/itm/306882948525?_skw=KTM&hash=item4773a62dad:g:gNkAAeSwLqJp4AWn
150,RENTHAL Ultralight Rear Sprocket - 46 Tooth - Black - Gas Gas/Husqvarna/KTM,RENTHAL Ultralight Rear Sprocket - 46 Tooth - Black - Gas Gas/Husqvarna/KTM,mercari;yahoo,16215,https://www.ebay.com/itm/358549990008?_skw=KTM&hash=item537b3eaa78:g:UFMAAeSwI-lqA98m
151,Motorcycle rearview mirror For KTM 250 390 200 690 125 DUKE 990 SUPER R 790 1290,Motorcycle rearview mirror For KTM 250 390 200 690 125 DUKE 990 SUPER R 790 1290,mercari;yahoo,5706,https://www.ebay.com/itm/376029724935?_skw=KTM&hash=item578d1e4107:g:SgsAAOSwm8xnEF-N
152,"KTM Genuine Intermediate Disc 1,2Mm - 78932010000","KTM Genuine Intermediate Disc 1,2Mm - 78932010000",mercari;yahoo,1914,https://www.ebay.com/itm/298255586744?_skw=KTM&hash=item45716b15b8:g:dPoAAeSwcSpp~RQ-
153, Oil Filter 77338005100 For KTM/HUSQVARNA SX SXF EXC XCW FE FC 250-530,Oil Filter 77338005100 For KTM/HUSQVARNA SX SXF EXC XCW FE FC 250-530,mercari;yahoo,276,https://www.ebay.com/itm/397953802631?_skw=KTM&hash=item5ca7e52187:g:DEMAAeSwyWlqB9GX
