request_id,title,search_keyword,target_sites,ebay_price_jpy,ebay_url
023,KTM Kids Logo Cap Orange Mesh Snapback AdjustableFlexfit 110 - 3PW250018900,KTM Kids Logo キャップ Orange Mesh Snapback AdjustableFlexfit 110 - 3PW250018900,mercari;yahoo,3873,https://www.ebay.com/itm/178027710329?_skw=KTM&hash=item2973474779:g:31cAAeSwVuJp07dR
024,Motorcycle Fork Tube Seal Driver 14mm-60mm KTM Husqvarna Harley Tusk Suzuki,Motorcycle Fork Tube Seal Driver 14mm-60mm KTM Husqvarna Harley Tusk Suzuki,mercari;yahoo,3036,https://www.ebay.com/itm/275497919705?_skw=KTM&hash=item4024f4a4d9:g:gukAAOSwCX5oCOLO
025,1:12 NEW COMPLETELY OUT OF PRODUCTION OFFICIAL KTM RC16 BRAD BINDER #33 RED BULL,1:12 NEW COMPLETELY OUT OF PRODUCTION OFFICIAL KTM RC16 BRAD BINDER #33 RED BULL,mercari;yahoo,3563,https://www.ebay.com/itm/277956956060?_skw=KTM&hash=item40b7868f9c:g:sRoAAeSwZ3hpcp~f
026,"KTM Ready to Race T-shirt Black Unisex racing fan gift, Men's Shirt S-5XL","KTM Ready to Race Tシャツ Black Unisex racing fan gift, Men's シャツ S-5XL",mercari;yahoo,2943,https://www.ebay.com/itm/406673584987?_skw=KTM&hash=item5eafa2735b:g:tOMAAOSwUq5n88-j
027,"OBD2 Adapter Fit for KTM 6 Pin to 16Pin Motorcycle Diagnostic Cable,Fit for KTM ","OBD2 Adapter Fit for KTM 6 Pin to 16Pin Motorcycle Diagnostic Cable,Fit for KTM",mercari;yahoo,4653,https://www.ebay.com/itm/365848918502?_skw=KTM&hash=item552e4b79e6:g:ckMAAeSwUQ9ovJ9C
028,"KTM Racing Orange & Black Embroidered Iron On Patch 3.75"" x 1.5""","KTM Racing Orange & Black Embroidered Iron On Patch 3.75"" x 1.5""",mercari;yahoo,1083,https://www.ebay.com/itm/355983811856?_skw=KTM&hash=item52e249e510:g:ddkAAOSw21ZmysXW
029,Fuel Injector Compatible with KTM FE450 2017-2019 FC250 2016-2022 450 Exc Sxf 79,Fuel Injector Compatible with KTM FE450 2017-2019 FC250 2016-2022 450 Exc Sxf 79,mercari;yahoo,6755,https://www.ebay.com/itm/397895906457?_skw=KTM&hash=item5ca471b499:g:BW8AAeSwiY5p8YOi&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGa2hyz6avwLeSFX0rG6U6FS1J4yBX4beZdZu6oWcNwH%2BSIsg48spw1PRZH9tdhNQd7hagjBU8ZV35LMjpwtepdm%2Fd1lF6PyTKRo63bcl9ZxQN6L9j4rwATi8IjFhFcyCpKbJuRmSg%2BryYcRmRXPqM8QVea0Txty0unVNx9RGui2Xfd6NCGPdg3AxbIjc5%2BYfIRrImwbJwrDwdd8OmVzZOAtLS87UdfKKLUjELbcCZFvRE3rcJ8P5GyNNkpDIRnYsm7jK8Pz7TY50q%2Fui9BfhzIj
030,Motorcycle Swingarm Guard Protector For KTM 2012-2021 2022 EXC EXCF XCW XCFW 150,Motorcycle Swingarm Guard Protector For KTM 2012-2021 2022 EXC EXCF XCW XCFW 150,mercari;yahoo,4081,https://www.ebay.com/itm/388393637747?_skw=KTM&hash=item5a6e109773:g:W70AAOSwkvpnCDS0&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGZ4Iniw0eNA%2BeWcruQx3hNz8L1ouMQsAEWfbiluuLfS%2FR%2FaQSFfwD3QalE15vnOCBqUKDzg9IFfd1JaRTn4EeY%2Fdq3Q9%2BOMPtlHdSUO8BHCrtnTyn3heWmVwAP42t8stvRK1TStHxPONAVtDYLH%2BWxOe%2BWLkFeyaAjnQiOCvOiHKk%2FPl4s43KCRA0yg8eTsVP2bym4jbm33puf7BPVIM6qgkbEqPiRuPwNK%2Fe35rrOlUfVkJbRQjVbxAqf88j%2BmqAdWS8%2BRmD%2FZdcUDT%2BqntJLQ
031,Motorcycle Front or Rear Brake Oil Hose For KTM 125 150 250 300 350 450 500 XCW,Motorcycle Front or Rear Brake Oil Hose For KTM 125 150 250 300 350 450 500 XCW,mercari;yahoo,3780,https://www.ebay.com/itm/388393637403?_skw=KTM&hash=item5a6e10961b:g:850AAOSwTgRnCDSp&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGYna5lGjU1l7JN1jigDHhCrtd5s8OME8Q2mWdh186CRZz%2FtCk1dVg%2FygeUsvf6%2BhFyLGCFh%2Fe91QpvmYBA6T%2BvtH0Cj9JL%2BWSKJiftz08lr4S91U9cE2UuzyIo3EVuIV62ndMyJFWKo0trEcatNVz2JvQzo8SAp2l0F4q3o8f2Q3Qf0bZqnFyGfZbdBN%2FIxRqTGwTbEnsYD6UPzTcMyNlCTCTvhRSt5Id5vyBvTOMGy4sL7HE4wpDMMl9LGblffWoXnjzCR7RxrXCWp%2BKSarshz
032,KTM Motorcycle Die Cut,KTM Motorcycle Die Cut,mercari;yahoo,4108,https://www.ebay.com/itm/256721018431?_skw=KTM&hash=item3bc5c3de3f:g:G8wAAeSwGTpp9CzN&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGbtCyKtlfjxaaV0XuVHSmUfJwyamBcUuh1DpGOURbdsXEeRNI4hMg7GgT5vqedAbWXExt51OMT1skAXysyUBCHmu2O%2F%2ByOM5WH3v%2BKOSWqjqaVNXtub1ArR71e8qVzjvom6iNy2W5efThH2uOTq7K4VlitjP5PCBu%2BVMtP9Puzn1ALmJt6tLRzxnVKFECiMfSntLqfo6CeUPQ1n5c4gnqVSdb6tOF3G2GPvFfcvQyTkwXu9pWqYBclxDgX7HCGeIbiz90MbuEoRLZVkZRfvml6Y
