title,price,itemWebUrl,sellerUsername,condition,itemLocation,categoryPath,buyingOptions,searchKeyword
Dainese Racing 4 Leather Mens White / Red / Black Sz. 46,388.88,https://www.ebay.com/itm/236064358984?_skw=Dainese&hash=item36f6884248:g:dVQAAOSw74BoBTiH,tier1gear,Pre-owned,"853**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
Dainese Vintage Black Leather Motocycle Jacket - Racing Legends Size Small (50),150.00,https://www.ebay.com/itm/267623785349?_skw=Dainese&hash=item3e4f9ee385:g:Ex0AAeSwQ-tptwGG,willio1996,Pre-owned,"972**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
Dainese Daemon x Hoodie Size 54 - New,165.00,https://www.ebay.com/itm/278042142623?_skw=Dainese&hash=item40bc9a679f:g:QOUAAeSws11qE7ju,liviur,New with tags,"074**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
20% OFF DAINESE MIG 3 Unisex Leather/Mesh Smart Touch Motorcycle Gloves,79.99,https://www.ebay.com/itm/257478649453?_skw=Dainese&hash=item3bf2ec666d:g:UysAAeSwJSpp8Bj0,moto-tech,New with tags,"921**, US","Gloves > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
Dainese Ducati Corse Leather Gauntlet Motorcycle Road Racing Gloves SZ Medium,111.00,https://www.ebay.com/itm/236764829545?_skw=Dainese&hash=item3720489769:g:GK0AAeSwWRRpb90F,largestones66,Pre-owned,"543**, US","Gloves > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
Dainese Knee Guards (Type A),50.00,https://www.ebay.com/itm/127648087385?_skw=Dainese&hash=item1db86b3d59:g:H28AAeSwqxdpeEyK,ninetonaptimeshop,Pre-owned,"605**, US","Knee Protectors > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Protective Gear","FIXED_PRICE,BEST_OFFER",Dainese
Dainese Delta 4 S/T Leather Pants Black/Black,300.00,https://www.ebay.com/itm/377240553526?_skw=Dainese&hash=item57d54a0836:g:N9IAAeSwK6xqJK2J,andsl3217,Pre-owned,"853**, US","Motorcycle Pants & Chaps > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
DAINESE NEXUS LADY LEATHER JACKET,500.00,https://www.ebay.com/itm/358650192047?_skw=Dainese&hash=item538137a0af:g:6Y0AAeSwsvpqJZau,shelbymck12,Pre-owned,"321**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,AUCTION",Dainese
Dainese 2 Piece Leather Motorcycle Suit Size EU 52 UK 42 large L Red Grey Black,144.07,https://www.ebay.com/itm/257487299345?_skw=Dainese&hash=item3bf3706311:g:4hUAAeSw8oNp9Mge,fylkastore,Used,"IG6***, GB","Racing & Riding Suits > Clothing, Protective Gear & Merchandise > Vehicle Parts & Accessories > Motorcycle & Motorsports Gear","FIXED_PRICE,BEST_OFFER",Dainese
DAiNESE Safety Kit,68.17,https://www.ebay.com/itm/157916102021?_skw=Dainese&hash=item24c4887d85:g:UPQAAeSwSoFqCKxl,nazarey_2008,Used,UA,Protective Pads & Armor > Sporting Goods > Cycling > Helmets & Protective Gear,"FIXED_PRICE,BEST_OFFER",Dainese
